available_bikes,available_bike_stands,time_of_day,type_of_day,day_of_year,iso_date,temperature,relative_humidity,vapour_pressure,wind_speed,rain,sunshine,visibility,bike_availability,bike_stand_availability
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
2,28,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
4,26,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
1,29,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,very low,high
0,30,49200,0,276,2019-10-03T13:40:00,12.0,90,12.7,21,0.0,0.0,14000,empty,high
17,13,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
17,13,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
15,15,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
15,15,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
13,17,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
13,17,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
14,16,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
26,4,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,low
20,10,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
25,5,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,moderate
26,4,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,low
27,3,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,low
28,2,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,low
28,2,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,low
15,15,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
17,13,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
15,15,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
10,20,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
11,19,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
13,17,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,high,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
4,26,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,low,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
6,24,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
8,22,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
8,22,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
8,22,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
9,21,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
5,25,59200,0,276,2019-10-03T16:26:40,12.9,96,14.3,19,0.0,0.0,6000,moderate,high
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
27,3,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
26,4,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
29,1,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,very low
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
30,0,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,empty
28,2,69200,0,276,2019-10-03T19:13:20,14.1,87,13.9,11,0.8,0.0,15000,high,low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
28,2,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,low
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
28,2,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
29,1,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,very low
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
30,0,79200,0,276,2019-10-03T22:00:00,12.3,82,11.7,12,0.0,0.0,15000,high,empty
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
23,7,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,moderate
22,8,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,moderate
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
20,10,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
17,13,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
20,10,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
20,10,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
20,10,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
19,11,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
24,6,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,moderate
18,12,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,high
26,4,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
26,4,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
27,3,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
30,0,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,empty
29,1,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,very low
28,2,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
28,2,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
27,3,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
27,3,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
26,4,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
26,4,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
27,3,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,low
29,1,22800,0,277,2019-10-04T06:20:00,11.1,95,12.5,13,0.5,0.0,5000,high,very low
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
10,20,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
11,19,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
15,15,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
14,16,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
14,16,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
14,16,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
14,16,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
13,17,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
16,14,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
13,17,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
13,17,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
12,18,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
13,17,32800,0,277,2019-10-04T09:06:40,12.0,98,13.7,10,1.9,0.0,4000,high,high
4,26,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,low,high
5,25,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
5,25,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
3,27,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,low,high
5,25,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
6,24,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
3,27,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,low,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
4,26,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,low,high
4,26,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,low,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
9,21,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
10,20,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,high,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
8,22,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
7,23,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
9,21,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
7,23,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
5,25,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
9,21,42800,0,277,2019-10-04T11:53:20,14.7,87,14.5,14,0.0,0.7,30000,moderate,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
5,25,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
6,24,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
5,25,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
5,25,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
5,25,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
0,30,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,empty,high
8,22,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,moderate,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
0,30,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,empty,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
0,30,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,empty,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
1,29,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,very low,high
0,30,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,empty,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
1,29,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,very low,high
1,29,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,very low,high
2,28,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
4,26,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
3,27,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,low,high
0,30,52800,0,277,2019-10-04T14:40:00,14.3,88,14.3,12,0.0,0.1,30000,empty,high
29,1,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,very low
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
29,1,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,very low
29,1,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,very low
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
27,3,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,low
29,1,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,very low
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
28,2,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,low
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
30,0,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,empty
29,1,62800,0,277,2019-10-04T17:26:40,13.5,91,14.0,8,0.0,0.0,30000,high,very low
